   ,CSR_NUMBER,LADBS_INSP_DIST,ADDR_HSE_NUM,ADDR_HSE_FRAC_NUM,ADDR_STR_DIR,ADDR_STR_NAME,ADDR_STR_SUFFIX,ADDR_STR_SUFFIX_DIR,ADDR_STR_ZIP,DATE_RECEIVED,DATE_CLOSED,DUE_DATE,CASEFLAG,CSR_PRIORITY,PIN,CSR_PROBLEM_DESC,APC,CASE_NUMBER_TO_CSR,RESPONSE_DAYS,LAT,LON
122,366158,1133,1742, ,S,BRONSON,AVE, ,90019,1/28/16,2/3/16,2/26/16,N,2,126B185   652,ILUSE,South Los Angeles,,4,34.04196,-118.32849
123,366142,1122,4204, ,S,CENTRAL,AVE, ,90011,1/28/16,1/28/16,2/26/16,N,2,114A209   121,ILUSE,South Los Angeles,,0,34.00730,-118.25628
124,366180,4104,5971, ,S,MAIN,ST, ,90003,1/28/16,2/2/16,2/26/16,N,2,105B201   542,ILUSE,South Los Angeles,,3,33.98545,-118.27419
125,366133,1102,6605, ,S,OCEAN FRONT,WALK, ,90293,1/28/16,2/12/16,2/26/16,N,2,096B149   322,ILUSE,West Los Angeles,,11,33.95981,-118.45206
126,366131,1142,1046, ,N,WILMINGTON,BLVD, ,90744,1/28/16,2/5/16,2/26/16,N,2,033B201   687,ILUSE,Harbor,,6,33.78371,-118.27436
127,366236,1112,1141, ,W,37TH,ST, ,90007,1/29/16,2/1/16,2/29/16,Y,2,120B197  1109,ILUSE,South Los Angeles,710203,1,34.02108,-118.29296
128,366218,2103,2731, ,W,ANGUS,ST, ,90039,1/29/16,2/1/16,2/29/16,N,2,150A207    63,ILUSE,East Los Angeles,,1,34.10655,-118.26558
129,366188,3111,19738, ,W,CANTLAY,ST, ,91306,1/29/16,2/1/16,2/29/16,Y,2,183B117    24,ILUSE,South Valley,710281,1,34.20197,-118.56385
130,366189,3113,22155, ,W,COSTANSO,ST, ,91364,1/29/16,1/29/16,2/29/16,N,2,171B101   199,ILUSE,South Valley,,0,34.16779,-118.61011
131,366192,3131,8638, ,N,DARBY,AVE, ,91325,1/29/16,1/29/16,2/29/16,Y,2,195B125   950,ILUSE,North Valley,710231,0,34.22751,-118.53372
132,366190,3111,7218, ,N,JUMILLA,AVE, ,91306,1/29/16,2/1/16,2/29/16,Y,2,183B117    18,ILUSE,South Valley,710282,1,34.20205,-118.56327
133,366232,2133,1900, ,W,PICO,BLVD, ,90006,1/29/16,2/4/16,2/29/16,Y,2,129A201   321,ILUSE,Central,710719,4,34.04605,-118.28037
134,366191,3113,5330, ,N,SAN FELICIANO,DR, ,91364,1/29/16,1/29/16,2/29/16,Y,2,171B101   198,ILUSE,South Valley,710091,0,34.16802,-118.61026
135,366294,2133,1980, ,S,ESTRELLA,AVE, ,90007,2/1/16,5/20/16,3/1/16,Y,2,123A203    23,ILUSE,South Los Angeles,721432,79,34.03331,-118.27565
136,366320,1140,10405, ,S,LOU-DILLON,AVE, ,90002,2/1/16,5/9/16,3/1/16,Y,2,090A215   229,ILUSE,South Los Angeles,719613,70,33.94124,-118.23492
137,366278,1140,11701, ,S,MAIN,ST, ,90061,2/1/16,2/3/16,3/1/16,N,1,084B201   531,ILUSE,South Los Angeles,,2,33.92727,-118.27409
138,366335,3131,6445, ,N,NEDDY,AVE, ,91307,2/1/16,2/3/16,3/1/16,Y,2,180B089   832,ILUSE,South Valley,710565,2,34.18710,-118.65343
139,366319,1132,1919, ,S,OXFORD,AVE, ,90018,2/1/16,2/1/16,3/1/16,N,2,126B193  1026,ILUSE,South Los Angeles,,0,34.03925,-118.30813
140,366323,2102,4520, ,N,VAN NUYS,BLVD, ,91403,2/1/16,2/8/16,3/1/16,N,2,168A151   188,ILUSE,South Valley,,5,34.15371,-118.44850
141,366365,2121,, , , , , ,,2/2/16,2/2/16,3/2/16,N,2,129A221   350,ILUSE,East Los Angeles,,0,34.04561,-118.22075
142,366384,1142,1018, ,N,CRISTOBAL,AVE, ,90744,2/2/16,3/19/16,3/2/16,N,2,033B213   580,ILUSE,Harbor,,34,33.78413,-118.24294
143,366405,1142,736, ,N,DOMINGUEZ,AVE, ,90744,2/2/16,3/19/16,3/2/16,Y,2,030B209   195,ILUSE,Harbor,714767,34,33.78014,-118.25184
144,366374,3123,16250, ,W,FILBERT,ST, ,91342,2/2/16,2/2/16,3/2/16,Y,2,228B141   408,ILUSE,North Valley,710293,0,34.31777,-118.48475
145,366378,1101,619, ,S,OCEAN FRONT,WALK, ,90291,2/2/16,3/2/16,3/2/16,Y,2,109-5A143 575,ILUSE,West Los Angeles,713469,21,33.99203,-118.47804
146,366486,1102,6641, ,W,86TH,PL, ,90045,2/3/16,4/28/16,3/3/16,Y,2,096B161   673,ILUSE,West Los Angeles,718138,61,33.95940,-118.40581
147,366439,2111,3622, ,S,BENTLEY,AVE, ,90034,2/3/16,2/17/16,3/3/16,Y,2,117B161   671,ILUSE,West Los Angeles,711879,10,34.01702,-118.41825
148,366557,1111,8600, ,S,FIGUEROA,ST, ,90003,2/3/16,2/3/16,3/4/16,N,3,097-5A201 278,ILUSE,South Los Angeles,,0,33.95989,-118.28247
149,366559,1111,8616, ,S,FIGUEROA,ST, ,90003,2/3/16,2/9/16,3/3/16,Y,2,097-5A201 297,ILUSE,South Los Angeles,711315,4,33.95956,-118.28251
